AAV2020;LOG_SOCIAUX;LOG_TOTAL;PCT_SOCIAUX
332;783.90805;8520.4208;9.2
147;2781.51552;30262.35164;9.19
240;1623.71361;17662.77886;9.19
352;1045.45409;11383.22383;9.18
493;472.21765;5148.47984;9.17
101;5934.20674;64838.17175;9.15
571;308.52221;3370.99545;9.15
671;143.76529;1572.39619;9.14
291;1121.6446;12283.43616;9.13
190;2294.85927;25154.56005;9.12
516;444.91452;4879.62451;9.12
047;16442.74708;180542.39996;9.11
161;2747.44632;30369.78542;9.05
510;420.60129;4649.41082;9.05
109;5151.32969;56923.05413;9.05
9B3;336.6809;3726.53631;9.03
057;10262.20126;113930.89092;9.01
198;2188.81563;24360.96999;8.98
108;4170.63821;46517.40785;8.97
052;13492.00307;150670.35532;8.95
012;42004.19521;470297.00838;8.93
169;2236.94123;25099.63966;8.91
079;6904.62583;77593.60502;8.9
044;13630.52108;153436.97424;8.88
091;6313.6347;71267.33594;8.86
9D4;7188.38062;81251.7803;8.85
093;5856.68911;66388.36464;8.82
436;585.30126;6632.76401;8.82
603;271.84278;3085.76935;8.81
489;408.9546;4652.04541;8.79
117;3920.35485;44583.18339;8.79
055;12559.34168;142988.72447;8.78
159;2677.47142;30690.67479;8.72
174;2428.50195;27870.2593;8.71
249;1636.1654;18801.40461;8.7
582;347.38614;4012.4827;8.66
277;1116.94573;12911.76815;8.65
668;195.22324;2258.61077;8.64
286;1200.77172;13949.46689;8.61
588;339.87534;3971.43846;8.56
212;1410.69687;16564.78217;8.52
624;246.17837;2899.4529;8.49
629;184.66356;2188.24579;8.44
232;1281.09143;15246.34657;8.4
104;5523.95902;65776.64477;8.4
257;1361.12454;16229.98202;8.39
261;1801.77761;21742.89445;8.29
536;368.20453;4446.65354;8.28
633;249.89021;3038.59262;8.22
251;1635.33425;19938.21198;8.2
563;372.34204;4543.15966;8.2
263;1045.85707;12798.87031;8.17
018;28041.98991;347147.54388;8.08
132;3359.64548;41764.1514;8.04
063;7475.23515;93068.23817;8.03
392;684.07946;8518.76129;8.03
378;607.59565;7633.91703;7.96
665;203.84238;2569.51094;7.93
278;1370.99296;17279.45024;7.93
282;1297.19106;16390.27149;7.91
295;968.43137;12273.01299;7.89
342;822.67675;10431.52148;7.89
375;595.85304;7552.56065;7.89
119;4154.24169;53160.59359;7.81
341;709.10282;9089.28115;7.8
210;1544.7318;19805.04009;7.8
545;316.20007;4061.99062;7.78
556;353.87527;4565.44346;7.75
082;5959.81565;76986.24967;7.74
203;1863.01151;24071.54494;7.74
347;812.09516;10604.35357;7.66
435;596.84252;7798.782;7.65
499;457.65371;6012.30453;7.61
602;260.66818;3427.4692;7.61
123;3709.29194;48767.57782;7.61
446;515.75394;6789.7142;7.6
573;248.71899;3284.30103;7.57
457;485.15717;6447.20338;7.53
432;517.14833;6870.46603;7.53
056;8652.08635;115254.76343;7.51
155;2049.03289;27266.07813;7.51
126;3397.42931;45386.75709;7.49
466;393.64553;5276.18016;7.46
140;2775.37872;37320.97171;7.44
244;1112.73081;15036.49677;7.4
429;501.93168;6781.46155;7.4
367;578.37019;7833.95236;7.38
589;209.78889;2847.85396;7.37
416;533.6759;7251.52882;7.36
110;4215.11437;57501.6054;7.33
BAL;4195.96663;57399.99329;7.31
248;1483.56536;20292.72753;7.31
213;1541.12473;21096.9129;7.3
268;1058.10279;14519.19945;7.29
580;232.27017;3200.14246;7.26
204;1632.33417;22473.07361;7.26
612;270.2885;3755.13961;7.2
420;456.61575;6352.20777;7.19
205;2091.45347;29201.5121;7.16
297;974.85707;13619.6543;7.16
285;1382.27135;19382.33981;7.13
663;166.05897;2327.83103;7.13
343;771.82327;10824.7013;7.13
145;2614.51134;36779.11507;7.11
227;1332.48191;18755.72134;7.1
637;176.77683;2492.09174;7.09
189;1614.69171;22814.57632;7.08
217;1396.21265;19714.21181;7.08
153;2695.55332;38176.82693;7.06
017;28783.37916;407523.79514;7.06
194;1930.42482;27680.01057;6.97
557;258.54216;3709.04899;6.97
111;3682.84768;53473.77223;6.89
276;991.40057;14385.95375;6.89
449;442.48484;6425.373;6.89
149;2610.09765;37963.48608;6.88
224;1477.02711;21462.29489;6.88
148;2509.959;36554.06384;6.87
451;457.89423;6683.38447;6.85
031;20006.68846;292884.81851;6.83
511;404.5588;5939.65692;6.81
