GEO;GEO_OBJECT;OCS;L_STAY;TDW;TOH;CARS;RP_MEASURE;CARPARK;NOR;TSH;BUILD_END;TIME_PERIOD;OBS_VALUE
190;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;2294.85927
191;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;2353.94527
192;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;868.63779
193;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;2451.8629
194;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;1930.42482
195;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;827.28737
196;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;2491.09065
197;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;3606.17757
198;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;2188.81563
199;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;1079.74026
200;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;4064.09436
201;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;2611.63783
202;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;1054.03413
203;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;1863.01151
204;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;1632.33417
205;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;2091.45347
206;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;1562.97515
207;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;1192.28777
208;AAV2020;DW_MAIN;_T;_T;_T;_T;DWELLINGS;_T;_T;221.0;_T;2021;2314.81429
